dataset,nr_documents,vocab_size,time,cpu,gpu,gpu_cudnn,gpu_memory,embedding_model
trump,1000,2926,10.040916204452515,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,3000,5511,17.63459825515747,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,5000,6926,28.77060079574585,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,7000,8356,16.74833345413208,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,9000,9283,20.616467475891113,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,11000,10210,16.750614166259766,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,13000,11026,19.074232816696167,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,15000,11806,22.829861640930176,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,17000,12432,29.273365020751953,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,19000,12979,28.72694969177246,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,21000,13624,31.765281200408936,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,23000,14068,33.78675198554993,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,25000,14400,37.911718130111694,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,27000,14941,40.50356101989746,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,29000,15448,42.69823431968689,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,31000,15853,47.23247766494751,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,33000,16231,50.00023794174194,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,35000,16598,55.335904359817505,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,37000,17010,55.94751024246216,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,39000,17325,60.92932152748108,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,41000,17665,64.52843976020813,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,43000,18021,68.94334125518799,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
