dataset,nr_documents,vocab_size,time,cpu,gpu,gpu_cudnn,gpu_memory,embedding_model
trump,1000,2926,11.92326831817627,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,3000,5493,23.375049591064453,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,5000,6926,25.595141172409058,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,7000,8193,21.011303186416626,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,9000,9359,25.835407495498657,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,11000,10210,19.781586408615112,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,13000,10968,22.97535538673401,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,15000,11656,25.769320487976074,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,17000,12282,32.38963055610657,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,19000,12953,30.645320177078247,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,21000,13581,33.02542281150818,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,23000,13979,35.932496786117554,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,25000,14571,38.24379301071167,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,27000,15053,41.84441041946411,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,29000,15438,43.35614728927612,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,31000,15828,45.88890624046326,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,33000,16168,49.15240406990051,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,35000,16534,52.576253175735474,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,37000,16940,55.46925187110901,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,39000,17305,60.263938188552856,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,41000,17700,63.19539165496826,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
trump,43000,17996,65.69485759735107,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-MiniLM-L6-v2
