dataset,nr_documents,vocab_size,time,cpu,gpu,gpu_cudnn,gpu_memory,embedding_model
trump,1000,2926,12.430068492889404,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,3000,5493,29.442813396453857,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,5000,6926,22.152912139892578,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,7000,8193,26.488350868225098,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,9000,9359,31.959601640701294,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,11000,10210,28.883814096450806,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,13000,10968,32.053229570388794,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,15000,11656,36.29338002204895,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,17000,12282,46.087339878082275,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,19000,12953,45.40619516372681,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,21000,13581,49.655959367752075,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,23000,13979,52.51565957069397,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,25000,14571,57.403013467788696,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,27000,15053,61.79872703552246,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,29000,15438,65.51571583747864,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,31000,15828,69.94387102127075,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,33000,16168,74.00423097610474,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,35000,16534,79.36133933067322,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,37000,16940,84.8019015789032,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,39000,17305,88.72857022285461,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,41000,17700,92.32135677337646,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,43000,17996,97.68504905700684,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
