dataset,nr_documents,vocab_size,time,cpu,gpu,gpu_cudnn,gpu_memory,embedding_model
trump,1000,2926,7.116047143936157,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,3000,5511,22.25011134147644,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,5000,6926,15.775498390197754,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,7000,8356,21.816239833831787,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,9000,9283,25.451301097869873,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,11000,10210,22.309551000595093,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,13000,11026,26.178349018096924,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,15000,11806,29.49092721939087,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,17000,12432,37.25445318222046,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,19000,12979,37.56834292411804,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,21000,13624,41.43257665634155,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,23000,14068,44.495694637298584,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,25000,14400,48.848957538604736,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,27000,14941,52.488022804260254,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,29000,15448,54.77431583404541,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,31000,15853,59.51755094528198,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,33000,16231,63.88483166694641,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,35000,16598,67.48545050621033,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,37000,17010,71.57197070121765,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,39000,17325,76.8560836315155,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,41000,17665,80.54383540153503,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
trump,43000,18021,87.90958142280579,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,USE
