dataset,nr_documents,vocab_size,time,cpu,gpu,gpu_cudnn,gpu_memory,embedding_model
trump,1000,2926,60.084787368774414,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,3000,5511,125.90248799324036,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,5000,6926,191.29897785186768,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,7000,8356,258.3660583496094,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,9000,9283,325.42924070358276,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,11000,10210,393.646142244339,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,13000,11026,458.57294750213623,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,15000,11806,529.2123811244965,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,17000,12432,595.2018258571625,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,19000,12979,666.7239112854004,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,21000,13624,742.0252931118011,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,23000,14068,811.9923586845398,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,25000,14400,879.0028781890869,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,27000,14941,946.4594616889954,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,29000,15448,1013.4244108200073,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,31000,15853,1081.5399174690247,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,33000,16231,1149.6923022270203,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,35000,16598,1219.0684480667114,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,37000,17010,1290.920644044876,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,39000,17325,1363.6490404605865,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,41000,17665,1423.4359347820282,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,43000,18021,1490.096764087677,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
