dataset,nr_documents,vocab_size,time,cpu,gpu,gpu_cudnn,gpu_memory,embedding_model
trump,1000,2926,1.4784386157989502,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,3000,5511,3.161134719848633,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,5000,6926,4.531383037567139,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,7000,8356,4.957073211669922,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,9000,9283,7.30818772315979,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,11000,10210,8.759570598602295,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,13000,11026,9.86474084854126,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,15000,11806,13.619431018829346,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,17000,12432,13.952255725860596,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,19000,12979,16.912168741226196,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,21000,13624,17.98771381378174,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,23000,14068,18.422241926193237,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,25000,14400,20.508726835250854,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,27000,14941,20.90877866744995,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,29000,15448,23.492859601974487,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,31000,15853,27.21190571784973,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,33000,16231,26.758968114852905,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,35000,16598,27.846363306045532,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,37000,17010,27.41938304901123,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,39000,17325,29.27962565422058,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,41000,17665,31.968692779541016,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
trump,43000,18021,34.204355001449585,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,None
