dataset,nr_documents,vocab_size,time,cpu,gpu,gpu_cudnn,gpu_memory,embedding_model
trump,1000,2926,10.111176252365112,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,3000,5493,18.028663158416748,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,5000,6926,29.794102907180786,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,7000,8193,15.252618789672852,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,9000,9359,20.176032781600952,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,11000,10210,15.695960760116577,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,13000,10968,18.25552725791931,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,15000,11656,20.324737787246704,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,17000,12282,27.67740535736084,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,19000,12953,27.26220726966858,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,21000,13581,28.801172494888306,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,23000,13979,31.608237981796265,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,25000,14571,34.78437662124634,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,27000,15053,36.95184922218323,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,29000,15438,40.67764186859131,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,31000,15828,44.86714744567871,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,33000,16168,47.13662075996399,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,35000,16534,50.90346670150757,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,37000,16940,55.629167556762695,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,39000,17305,57.175907611846924,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,41000,17700,61.9516761302948,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
trump,43000,17996,62.25144815444946,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,Doc2Vec
