dataset,nr_documents,vocab_size,time,cpu,gpu,gpu_cudnn,gpu_memory,embedding_model
trump,1000,2926,13.28958249092102,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,3000,5493,30.02815008163452,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,5000,6926,22.005638599395752,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,7000,8193,27.78826665878296,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,9000,9359,33.23596382141113,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,11000,10210,30.237069368362427,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,13000,10968,32.999504804611206,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,15000,11656,37.71110510826111,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,17000,12282,45.34695887565613,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,19000,12953,47.310282707214355,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,21000,13581,50.15188694000244,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,23000,13979,54.31151509284973,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,25000,14571,58.801618337631226,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,27000,15053,63.62077474594116,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,29000,15438,66.99963974952698,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,31000,15828,72.39541912078857,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,33000,16168,78.45703029632568,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,35000,16534,80.84469795227051,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,37000,16940,86.43536472320557,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,39000,17305,90.05750131607056,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,41000,17700,95.03092885017395,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
trump,43000,17996,99.24832820892334,Intel(R) Xeon(R) CPU @ 2.00GHz,Tesla P100-PCIE-16GB,8005,17.071734784,all-mpnet-base-v2
